k rms rms/rms0 
1 40.29898774297886 0.9825704130394358 
2 38.52431652725431 0.9393003577078978 
3 37.39092742444135 0.9116660507126967 
4 36.32859886387564 0.8857643427294608 
5 35.29907002071996 0.8606623578580981 
6 34.298837681774664 0.8362746807114404 
7 33.32688665114136 0.8125765587706515 
8 32.3824119210801 0.7895483643271499 
9 31.464643168089065 0.7671713153438737 
10 30.572830720826413 0.7454271333249781 
11 29.706244616638724 0.7242980203121014 
12 28.864174486723503 0.7037666560843951 
13 28.045929330864308 0.6838161926661134 
14 27.250837183290496 0.6644302461796008 
15 26.47824471567793 0.6455928871656516 
16 25.7275168063224 0.6272886300790895 
17 24.998036092392674 0.6095024223717975 
18 24.28920251543111 0.5922196334111074 
19 23.600432866440823 0.5754260433881092 
20 22.931160334593436 0.5591078323142391 
21 22.280834062156416 0.5432515691695111 
22 21.648918707306304 0.5278442012430249 
23 21.03489401589256 0.5128730436917057 
24 20.438254402799394 0.49832576933306433 
25 19.858508543285588 0.4841903986812387 
26 19.295178974486095 0.47045529023080174 
27 18.74780170713341 0.45710913098974654 
28 18.215925847461563 0.4441409272607454 
29 17.699113229195916 0.4315399956683199 
30 17.1969380554838 0.41929595442838996 
31 16.708986550594833 0.4073987148560263 
32 16.234856621193174 0.3958384731065865 
33 15.77415752697848 0.38460570214527884 
34 15.326509560473701 0.37369114393974434 
35 14.891543735742838 0.3630858018703693 
36 14.46890148581178 0.35278093335279653 
37 14.05823436857092 0.34276804266723904 
38 13.659203780936178 0.33303887398915116 
39 13.271480681048855 0.32358540461590146 
40 12.894745318298298 0.3143998383841821 
41 12.528686970954265 0.30547459927295845 
42 12.173003691200382 0.2968023251868709 
43 11.827402057366259 0.2883758619151561 
44 11.491596933155714 0.2801882572611459 
45 11.165311233679866 0.2722327553376837 
46 10.848275698103356 0.264502791023782 
47 10.540228668717907 0.25699198457799066 
48 10.240915876265175 0.24969413640413654 
49 9.950090231330508 0.24260322196508333 
50 9.667511621638818 0.23571338684039717 
51 9.392946715084125 0.22901894192381037 
52 9.126168768332507 0.22251435875657635 
53 8.866957440839675 0.21619426499284386 
54 8.615098614129934 0.21005343999331436 
55 8.370384216188421 0.2040868105435714 
56 8.132612050820411 0.19828944669351709 
57 7.901585631837662 0.1926565577145017 
58 7.677114021934171 0.18718348817079022 
59 7.459011676118824 0.18186571410213528 
60 7.247098289574861 0.17669883931428496 
61 7.041198649820815 0.1716785917743687 
62 6.841142493050371 0.16680082010817432 
63 6.646764364532952 0.1620614901964331 
64 6.457903482958673 0.15745668186727693 
65 6.2744036086165895 0.15298258568215875 
66 6.096112915296549 0.14863549981256194 
67 5.9228838658090925 0.14441182700492486 
68 5.754573091020851 0.1403080716312807 
69 5.591041272304938 0.13632083682316123 
70 5.432153027310157 0.1324468216864204 
71 5.277776798953865 0.1286828185946569 
72 5.127784747547906 0.12502571055902734 
73 4.982052645967741 0.12147246867225872 
74 4.840459777779436 0.1180201496247794 
75 4.702888838239765 0.11466589329090243 
76 4.569225838088147 0.11140692038307926 
77 4.4393600100517725 0.10824053017230678 
78 4.313183717986359 0.1051640982727959 
79 4.190592368578372 0.10217507448909419 
80 4.071484325535701 0.0992709807238818 
81 3.9557608261970247 0.09644940894473994 
82 3.843325900490598 0.09370801920820321 
83 3.734086292176655 0.09104453773949069 
84 3.6279513823086624 0.08845675506633742 
85 3.5248331148503618 0.08594252420538816 
86 3.424645924388385 0.0834997588996855 
87 3.327306665880351 0.08112643190578712 
88 3.2327345463818946 0.07882057332913335 
89 3.1408510586958878 0.07658026900628165 
90 3.0515799168904065 0.0744036589327049 
91 2.964846993631984 0.07228893573485004 
