k rms rms/rms0 
1 13.16184413959831 0.9356119318766386 
2 12.437053948608906 0.8840900977320861 
3 11.861845156170844 0.8432012827744408 
4 11.408950422863036 0.8110071835378422 
5 11.054777286753946 0.7858307258485364 
6 10.779318849392267 0.7662497159233158 
7 10.565945580856821 0.7510820407960389 
8 10.401086769475828 0.7393630241166813 
9 10.27384421625525 0.7303179655539946 
10 10.17558356685758 0.7233330905596298 
11 10.09953957096431 0.7179274901627015 
12 10.040458528985734 0.7137277042332697 
13 9.994289220031977 0.7104457510445311 
14 9.957924810350256 0.7078607807901344 
15 9.928992808706822 0.7058041445267378 
16 9.905687384035494 0.7041474744455031 
17 9.886637420861213 0.7027933045694106 
18 9.870803815708449 0.7016677700509627 
19 9.857400183187949 0.7007149705508576 
20 9.845832009891453 0.699892644982235 
21 9.83565017881283 0.6991688677862378 
22 9.826515593026155 0.6985195342001446 
23 9.81817231789161 0.6979264510665034 
24 9.810427230338602 0.6973758901989559 
25 9.803134621245938 0.6968574938398103 
26 9.79618455811843 0.696363447418927 
27 9.789494096869353 0.6958878548417773 
28 9.783000649119622 0.6954262670027762 
29 9.776656978462585 0.6949753260939134 
30 9.770427426747448 0.6945324973494681 
31 9.764285068568572 0.6940958667723952 
32 9.758209565886261 0.6936639886296798 
33 9.752185550574364 0.6932357704754577 
34 9.74620140495723 0.6928103864652768 
35 9.740248342334713 0.6923872119950611 
36 9.734319713610612 0.6919657744126749 
37 9.728410484333345 0.6915457158432704 
38 9.72251684017879 0.6911267651449676 
39 9.71663588925038 0.6907087167468069 
40 9.710765437367467 0.6902914146750829 
41 9.704903818386086 0.6898747404916685 
42 9.69904976602413 0.6894586041826845 
43 9.693202316994443 0.689042937272699 
44 9.687360737763257 0.6886276876183397 
45 9.681524469141127 0.6882128154695294 
46 9.675693084340342 0.6877982904879909 
47 9.669866257205582 0.687384089488918 
48 9.664043738133811 0.6869701947292363 
49 9.658225335808854 0.6865565926092028 
50 9.652410903336188 0.6861432726867953 
51 9.646600327708796 0.685730226928891 
52 9.640793521797125 0.6853174491418705 
53 9.634990418252938 0.6849049345382732 
54 9.629190964864932 0.6844926794066494 
55 9.623395121017513 0.684080680859833 
56 9.617602854987336 0.6836689366427644 
57 9.611814141877797 0.6832574449856644 
58 9.606028962039048 0.6828462044917201 
59 9.600247299857635 0.6824352140510466 
60 9.594469142829304 0.6820244727747767 
61 9.588694480846623 0.6816139799444221 
62 9.582923305652299 0.6812037349730115 
63 9.577155610418155 0.6807937373751628 
64 9.571391389421098 0.6803839867440492 
65 9.56563063779315 0.6799744827336294 
66 9.559873351328747 0.6795652250449502 
67 9.554119526335652 0.6791562134155484 
68 9.548369159519591 0.6787474476112499 
69 9.542622247895132 0.6783389274198348 
70 9.53687878871627 0.677930652646103 
71 9.531138779422974 0.6775226231080739 
72 9.525402217599114 0.6771148386339967 
73 9.519669100940613 0.6767072990600858 
74 9.513939427229678 0.6763000042286889 
75 9.508213194315537 0.6758929539869178 
76 9.502490400098894 0.6754861481855441 
77 9.496771042520333 0.6750795866781736 
78 9.491055119550683 0.6746732693205624 
79 9.485342629184085 0.6742671959701236 
80 9.479633569432167 0.6738613664855135 
81 9.473927938319845 0.6734557807263329 
82 9.468225733881665 0.6730504385528674 
83 9.46252695415941 0.6726453398259163 
84 9.45683159719986 0.6722404844066351 
85 9.45113966105331 0.6718358721564284 
86 9.445451143772303 0.671431502936861 
87 9.439766043410764 0.6710273766095959 
88 9.434084358023117 0.6706234930363314 
89 9.428406085664047 0.6702198520787845 
90 9.422731224387768 0.6698164535986385 
91 9.417059772247963 0.6694132974575394 
92 9.411391727297442 0.6690103835170707 
93 9.405727087588124 0.6686077116387528 
94 9.400065851170854 0.6682052816840296 
95 9.394408016095326 0.6678030935142633 
96 9.388753580410228 0.6674011469907445 
97 9.38310254216303 0.6669994419746775 
98 9.377454899400071 0.6665979783271857 
99 9.371810650166694 0.6661967559093221 
100 9.366169792507234 0.665795774582068 
101 9.36053232446496 0.6653950342063287 
102 9.354898244082115 0.6649945346429368 
103 9.349267549400276 0.6645942757526773 
104 9.343640238460077 0.6641942573962686 
105 9.338016309301407 0.6637944794343758 
106 9.332395759963436 0.6633949417276127 
107 9.326778588484723 0.6629956441365503 
108 9.32116479290324 0.6625965865217173 
109 9.315554371256347 0.6621977687435991 
110 9.309947321581065 0.6617991906626571 
111 9.304343641913823 0.6614008521393104 
112 9.298743330290932 0.66100275303397 
113 9.293146384748102 0.6606048932070039 
114 9.287552803320887 0.6602072725187691 
115 9.281962584044754 0.6598098908296165 
116 9.276375724954788 0.6594127479998698 
117 9.270792224085994 0.6590158438898469 
118 9.265212079473402 0.6586191783598676 
119 9.259635289151777 0.658222751270233 
120 9.25406185115612 0.6578265624812605 
121 9.248491763521294 0.6574306118532582 
122 9.242925024282203 0.657034899246537 
123 9.237361631474005 0.6566394245214257 
124 9.231801583131782 0.6562441875382475 
125 9.226244877290942 0.6558491881573494 
126 9.220691511987033 0.6554544262390879 
127 9.2151414852558 0.6550599016438335 
128 9.209594795133162 0.6546656142319693 
129 9.204051439655457 0.6542715638639081 
130 9.198511416859345 0.6538777504000852 
131 9.192974724781516 0.6534841737009388 
132 9.18744136145948 0.6530908336269646 
133 9.181911324930663 0.652697730038653 
134 9.176384613233147 0.6523048627965404 
