k rms rms/rms0 
1 13.956749378689098 0.9921179061547455 
2 2.8883702980571088e-9 2.0532029447225998e-10 
3 5.143521706746755e-10 3.656281163686251e-11 
4 1.791257747608821e-10 1.2733186200611196e-11 
5 1.0891358505115913e-10 7.74214073928667e-12 
6 4.3556029200406635e-11 3.096187752479452e-12 
7 3.023701426171683e-11 2.1494033075861776e-12 
8 1.6327565095374393e-11 1.160647745080427e-12 
9 1.4114543074446918e-11 1.0033346978869742e-12 
10 9.50383254379715e-12 6.755815546988763e-13 
